@relation RATE
@attribute PANIC numeric
@attribute COURAGE numeric
@attribute CHASEDBY numeric
@attribute distanceWithMe numeric
@attribute distanceWithSheperd numeric
@attribute myHungryLevel numeric
@attribute sheepHP numeric
@attribute class {SUCCESS,FAIL}
@data
2.180183,0.4882957,7,10.3469,1.733839,46.57102,100,SUCCESS
3.245795,0.8179693,1,48.21042,182.9993,41.87331,100,SUCCESS
0,0.4575125,6,16.03818,0.9347385,28.12626,100,SUCCESS
0,0.4819924,1,21.17251,0.5928316,60,100,SUCCESS
4.282894,0.4408665,1,26.26304,5.34196,60,100,FAIL
0,0.4472643,1,18.13568,7.466087,60,100,FAIL
5.78082,0.493995,1,9.874782,12.04376,52.66889,100,FAIL
7.817314,0.6672209,1,33.69738,44.46006,42.02824,100,SUCCESS
7.409348,0.4135871,1,26.55438,7.753898,42.26281,100,SUCCESS
6.863676,0.7686068,1,9.761847,130.0591,21.93733,100,SUCCESS
0,0.4570823,1,19.19967,8.770983,60,100,SUCCESS
6.431303,0.4028715,1,29.94454,9.303695,60,100,FAIL
6.710146,0.4363723,2,34.4478,12.97885,66.40002,100,SUCCESS
5.146791,0.4048226,1,2.672716,8.039954,56.67189,100,SUCCESS
5.636528,0.3596054,2,2.931615,9.782421,54.41959,100,FAIL
5.696801,0.3645966,3,1.516451,26.59925,51.45078,57.60479,FAIL
5.696801,0.3645966,4,1.962564,28.64395,51.4274,54.90281,FAIL
5.696801,0.3645966,5,1.774715,30.69868,51.40402,52.12282,FAIL
5.696801,0.3645966,6,1.916074,32.74478,51.38065,49.3865,FAIL
5.696801,0.3645966,7,2.38118,34.25304,51.35727,46.92794,FAIL
5.696801,0.3645966,8,2.263797,35.39811,51.33389,44.32616,FAIL
5.696801,0.3645966,9,2.276807,35.99035,51.31052,41.84829,FAIL
5.696801,0.3645966,10,2.027053,36.29832,51.28714,39.41521,FAIL
5.696801,0.3645966,11,2.09757,36.45068,51.26376,36.92709,FAIL
5.696801,0.3645966,12,2.260441,36.5331,51.24039,34.4862,FAIL
5.696801,0.3645966,13,2.171595,36.57636,51.21701,32.12035,FAIL
5.696801,0.3645966,14,1.930276,36.59838,51.19363,29.60563,FAIL
5.696801,0.3645966,15,1.707641,36.61016,51.17026,27.25974,FAIL
5.696801,0.3645966,16,1.572666,36.61678,51.14688,24.63174,FAIL
5.696801,0.3645966,17,1.918416,36.61984,51.1235,21.99628,FAIL
5.696801,0.3645966,18,2.320952,36.64143,51.10013,19.43316,FAIL
5.696801,0.3645966,19,2.036156,36.94102,51.07675,16.81113,FAIL
5.696801,0.3645966,20,1.712896,37.8188,51.05338,14.00409,FAIL
5.696801,0.3645966,21,2.22526,39.31948,51.03,11.19577,FAIL
5.696801,0.3645966,22,2.023534,41.21531,51.00662,8.210501,FAIL
5.696801,0.3645966,23,2.535726,43.03384,50.98325,5.533946,FAIL
5.696801,0.3645966,24,2.502792,45.24361,50.95987,2.589598,FAIL
5.368497,0.3296535,1,8.988162,7.23401,61.98536,100,SUCCESS
5.696801,0.3645966,25,2.762113,47.43372,50.93649,-0.3135116,FAIL
7.867226,0.518167,1,51.31849,7.328408,69.85718,100,FAIL
7.867226,0.518167,1,49.72666,7.328408,50.91312,100,FAIL
9.508879,0.5,3,3.837735,7.4535,39.92618,100,FAIL
9.109652,0.490254,2,45.82463,5.159979,66.52962,100,FAIL
8.459209,0.7940448,1,31.22256,36.67017,30.00287,100,SUCCESS
14.09641,0.4366163,4,2.569916,1.166328,37.01902,100,FAIL
16.04505,0.5,6,1.950742,0.6027451,28.08757,100,FAIL
17.64354,0.5,7,6.818404,0.6215785,23.16349,100,FAIL
10.37408,0.9907643,1,40.40382,40.0927,19.77192,100,SUCCESS
19.19976,0.5,8,3.43427,0.6228552,16.26989,100,FAIL
5.778188,0.4900173,10,11.74799,7.453043,10.94339,100,SUCCESS
0,0.4613872,2,6.202959,8.725711,60,100,FAIL
0,0.4757916,1,38.75162,4.481065,60,100,FAIL
0,0.412538,1,13.13606,2.857382,60,100,FAIL
8.716492,0.4640647,1,1.755628,16.42694,52.06203,100,SUCCESS
0,0.4119099,1,28.60368,3.026613,60,100,FAIL
5.488609,0.391062,2,10.39217,7.029126,44.36492,46.59704,FAIL
5.488609,0.391062,3,9.728578,7.134195,44.3194,43.96188,FAIL
5.488609,0.391062,4,8.987522,7.190893,44.27389,41.36565,FAIL
5.488609,0.391062,5,8.651211,7.21932,44.22837,38.51122,FAIL
5.556429,0.5,2,14.67469,5.776398,44.18285,73.1193,FAIL
5.488609,0.391062,6,2.541393,10.84361,42.68079,19.73267,FAIL
5.488609,0.391062,7,1.451988,11.99055,42.63528,16.79709,FAIL
5.488609,0.391062,8,1.273234,13.15039,42.58976,13.84359,FAIL
5.488609,0.391062,9,1.618845,14.09152,42.54424,10.97814,FAIL
5.488609,0.391062,10,1.204422,14.58372,42.49873,8.127043,FAIL
5.488609,0.391062,11,1.176912,14.80134,42.45321,5.250827,FAIL
5.488609,0.391062,12,1.737371,14.98541,42.40769,2.220102,FAIL
0,0.4035999,1,23.26516,4.074885,54.84019,96.27135,SUCCESS
5.488609,0.391062,13,0.9728942,15.61399,42.36217,-0.6098139,FAIL
5.556429,0.5,3,6.803614,9.216311,60.79216,34.25999,FAIL
5.556429,0.5,4,5.678407,10.69374,60.77316,29.73362,FAIL
5.556429,0.5,5,4.984674,11.24227,60.75415,27.1062,FAIL
6.153017,0.4565122,1,26.80745,36.10551,61.53284,100,SUCCESS
0,0.4961251,1,3.889,3.526975,53.64046,100,SUCCESS
0,0.1375932,2,14.99517,5.21391,62.15257,100,SUCCESS
16.56097,0.5812168,1,1.617847,56.78198,58.1265,100,SUCCESS
1.000628,0.1416261,3,5.580558,1.457143,55.26176,96.81523,FAIL
1.000628,0.1416261,4,2.056297,0.9131726,53.17123,57.69785,FAIL
1.000628,0.1416261,5,2.21901,0.8127561,53.15223,55.34498,FAIL
1.000628,0.1416261,6,2.351064,0.6107432,53.13322,53.08113,FAIL
1.000628,0.1416261,7,2.468353,0.154601,53.11422,50.59815,FAIL
1.028996,0.1219757,3,28.50673,5.347646,42.31666,100,FAIL
1.000628,0.1416261,7,2.047097,0.4620654,53.09521,100,SUCCESS
2.060612,0.1671021,8,14.05024,10.82492,28.45674,93.77319,FAIL
2.060612,0.1671021,9,3.206569,2.106776,24.99731,55.02482,FAIL
4.15323,0.1421341,7,23.72752,0.5027623,57.83288,100,SUCCESS
2.060612,0.1671021,8,7.444226,10.82492,50.15897,93.77319,SUCCESS
2.060612,0.1671021,9,2.196775,1.760268,24.95179,49.84033,FAIL
0,0.3862295,1,29.90716,3.999829,60,100,FAIL
0,0.4979914,1,46.70808,5.034014,60,100,FAIL
6.173533,0.5,1,16.66222,4.070223,60,100,SUCCESS
3.90908,0.5,1,45.92122,3.531403,60,100,SUCCESS
0,0.4931136,1,32.82237,4.094429,60,100,FAIL
0,0.463788,1,6.842165,5.255133,56.90073,100,FAIL
0,0.5,1,24.31734,0.6755848,51.21243,100,FAIL
0,0.4765257,2,47.95457,5.23913,49.52711,100,FAIL
0,0.4262656,1,42.26506,4.167473,56.24716,100,FAIL
0,0.5,1,25.05146,95.78359,54.02576,100,SUCCESS
0,0.01,2,34.05848,2.663512,52.19032,100,FAIL
0,0.4123964,2,44.12536,2.566074,56.95222,100,FAIL
0,0.5,1,39.94291,5.197137,60,100,FAIL
0,0.4682947,1,2.555292,0.6494551,46.98387,100,FAIL
0,0.5,1,21.24609,2.461595,50.17671,100,FAIL
0,0.5,1,42.7849,2.569835,30.77412,100,FAIL
0,0.4585044,1,18.95155,2.297834,60,100,FAIL
0,0.48349,1,24.15522,3.446328,60,100,FAIL
2.128884,0.5,1,6.481389,14.68778,51.11795,100,FAIL
0,0.5,1,26.06288,6.818882,60,100,FAIL
0,0.5,1,19.80527,0.684839,60,100,FAIL
0,0.472837,1,27.01514,6.831637,60,100,FAIL
2.353761,0.4954702,1,17.40296,0.8283489,60,100,FAIL
0,0.5,1,44.86313,5.269493,60,100,FAIL
0,0.5,2,7.84561,14.75967,60,100,SUCCESS
0,0.5,2,9.199454,14.75967,60,100,SUCCESS
5.474799,0.5296586,1,42.20232,27.18343,60,100,SUCCESS
6.194868,0.5246904,1,3.733097,29.95948,65.65923,100,SUCCESS
5.654744,0.4651744,2,41.33546,19.54879,57.50922,100,FAIL
7.037657,0.3527019,2,29.99587,36.20662,20.55581,100,FAIL
6.017284,0.326425,1,13.19144,15.41689,51.54461,100,SUCCESS
0,0.4931195,1,14.09751,14.98765,60,100,FAIL
6.821669,0.476274,2,19.64474,22.21025,59.28005,100,FAIL
9.111191,0.5253185,1,42.0649,21.14039,56.60025,100,FAIL
5.165594,0.5094026,2,9.517146,33.32739,55.49633,100,SUCCESS
0,0.5,1,22.90795,22.6999,54.21642,100,FAIL
0,0.5,1,17.83739,15.65212,63.64046,100,SUCCESS
3.148928,0.4654212,1,10.00648,16.01308,46.91295,100,FAIL
3.148928,0.4654212,2,14.97823,18.24304,59.92873,100,SUCCESS
6.691656,0.4059027,3,44.7662,41.6856,44.91309,87.51142,FAIL
5.691199,0.3930178,2,22.98425,27.0348,44.56112,100,FAIL
7.833686,0.3759584,1,29.47158,14.74228,57.04821,100,SUCCESS
5.410944,0.3765772,1,12.40101,18.14953,57.32892,100,SUCCESS
15.08482,0.4137238,1,17.44647,15.36805,22.80043,100,SUCCESS
27.90378,0.7590256,1,2.581779,72.23076,51.16137,100,SUCCESS
0,0.4896064,1,20.43377,14.91047,22.99654,100,FAIL
0,0.5,1,23.35963,84.43497,11.55814,100,FAIL
8.365191,0.5092295,1,9.996212,43.18353,2.808274,100,SUCCESS
5.953698,0.4627551,2,25.04671,59.90485,13.75296,100,FAIL
